,LAND_SPEED_HIGH,PLND_XY_DIST_MAX,PLND_TIMEOUT,AVOID_MARGIN,FOLL_OFS_Z,CAM_TRIGG_DIST,RNGFND1_PWRRNG,RNGFND2_PWRRNG,RNGFND3_PWRRNG,RNGFND4_PWRRNG,RNGFND5_PWRRNG,RNGFND6_PWRRNG,RNGFND7_PWRRNG,RNGFND8_PWRRNG,RNGFND9_PWRRNG,RNGFNDA_PWRRNG,WPNAV_TER_MARGIN,OA_MARGIN_MAX,VISO_POS_M_NSE,WP_NAVALT_MIN,OA_BR_LOOKAHEAD,FOLL_OFS_X,BCN_ALT,TERRAIN_MARGIN,INS_TCAL1_TMAX
20:30:02.057,220.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,90.1,0.1,0.0,44.0,-43.0,5599.0,0.05,-70.0
20:30:05.915,290.0,0.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,73.1,0.1,0.0,69.0,-59.0,9313.0,0.05,-70.0
20:30:10.088,440.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,79.1,0.1,0.0,78.0,71.0,6917.0,0.05,-70.0
20:30:13.909,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,82.1,0.1,0.0,11.0,-32.0,8530.0,0.05,-70.0
20:30:18.055,240.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,94.1,0.1,0.0,2.0,14.0,6605.0,0.05,-70.0
20:30:21.891,120.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,64.1,0.1,0.0,44.0,34.0,4014.0,0.05,-70.0
20:30:26.071,410.0,0.0,0.0,1.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,23.1,0.1,0.0,11.0,-72.0,3407.0,0.05,-70.0
20:30:29.957,110.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,93.1,0.1,0.0,11.0,28.0,8616.0,0.05,-70.0
20:30:34.246,480.0,0.0,0.0,1.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,96.1,0.1,0.0,78.0,-44.0,7456.0,0.05,-70.0
20:30:38.139,60.0,0.0,0.0,1.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,42.1,0.1,0.0,33.0,-31.0,755.0,0.05,-70.0
20:30:42.126,470.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,81.1,0.1,0.0,21.0,-53.0,5336.0,0.05,-70.0
20:30:46.078,470.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,46.1,0.1,0.0,98.0,-53.0,6906.0,0.05,-70.0
20:30:50.050,290.0,0.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.1,0.1,0.0,41.0,5.0,2480.0,0.05,-70.0
20:30:54.093,370.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,90.1,0.1,0.0,23.0,-65.0,5386.0,0.05,-70.0
20:30:58.185,390.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,60.1,0.1,0.0,56.0,96.0,9554.0,0.05,-70.0
20:31:03.143,30.0,0.0,0.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,86.1,0.1,0.0,72.0,39.0,4005.0,0.05,-70.0
20:31:06.941,450.0,0.0,0.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,16.1,0.1,0.0,17.0,51.0,9600.0,0.05,-70.0
20:31:11.215,450.0,0.0,0.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,60.1,0.1,0.0,59.0,-47.0,3055.0,0.05,-70.0
20:31:15.003,350.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,56.1,0.1,0.0,13.0,65.0,2406.0,0.05,-70.0
